------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4150  |     0.7178  |   0.6813  |               |              8.1821  |
|          |      1  |      1.2725  |     0.7998  |   0.7027  |               |              8.5952  |
|          |      2  |      1.2041  |     0.8408  |   0.8220  |               |              9.0076  |
|          |      3  |      1.1582  |     0.8594  |   0.7998  |               |              9.3896  |
|          |      4  |      1.1582  |     0.8594  |   0.8452  |               |              9.7690  |
|          |      5  |      1.1064  |     0.8779  |   0.7748  |               |             10.1521  |
|          |      6  |      1.0664  |     0.9229  |   0.8741  |               |             10.5320  |
|          |      7  |      1.0410  |     0.9219  |   0.8964  |               |             10.9133  |
|          |      8  |      0.9971  |     0.9404  |   0.9029  |               |             11.2949  |
|          |      9  |      0.9668  |     0.9580  |   0.9246  |               |             11.6751  |
|          |     10  |      0.9404  |     0.9736  |   0.9302  |               |             12.0559  |
|          |   eval  |      0.9404  |     0.9736  |   0.9302  |       0.9409  |             12.2259  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4219  |     0.7031  |   0.6685  |               |              0.4174  |
|          |      1  |      1.2607  |     0.8203  |   0.7766  |               |              0.8357  |
|          |      2  |      1.2041  |     0.8340  |   0.7701  |               |              1.2504  |
|          |      3  |      1.1572  |     0.8564  |   0.7562  |               |              1.6342  |
|          |      4  |      1.1377  |     0.8643  |   0.8065  |               |              2.0153  |
|          |      5  |      1.0928  |     0.8965  |   0.8412  |               |              2.3982  |
|          |      6  |      1.0713  |     0.9004  |   0.8689  |               |              2.7802  |
|          |      7  |      1.0410  |     0.9297  |   0.8813  |               |              3.1623  |
|          |      8  |      1.0107  |     0.9336  |   0.9067  |               |              3.5453  |
|          |      9  |      0.9731  |     0.9570  |   0.9318  |               |              3.9273  |
|          |     10  |      0.9409  |     0.9795  |   0.9334  |               |              4.3080  |
|          |   eval  |      0.9409  |     0.9795  |   0.9334  |       0.9420  |              4.4774  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4248  |     0.7070  |   0.6783  |               |              0.4982  |
|          |      1  |      1.2578  |     0.8115  |   0.7855  |               |              0.9134  |
|          |      2  |      1.1973  |     0.8418  |   0.7213  |               |              1.3310  |
|          |      3  |      1.1914  |     0.8340  |   0.8279  |               |              1.7126  |
|          |      4  |      1.1406  |     0.8662  |   0.8287  |               |              2.0938  |
|          |      5  |      1.0996  |     0.8984  |   0.8717  |               |              2.4754  |
|          |      6  |      1.0693  |     0.9023  |   0.8746  |               |              2.8563  |
|          |      7  |      1.0469  |     0.9219  |   0.8789  |               |              3.2383  |
|          |      8  |      1.0107  |     0.9375  |   0.9096  |               |              3.6182  |
|          |      9  |      0.9800  |     0.9541  |   0.9297  |               |              3.9996  |
|          |     10  |      0.9292  |     0.9863  |   0.9346  |               |              4.3810  |
|          |   eval  |      0.9292  |     0.9863  |   0.9346  |       0.9419  |              4.5509  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4668  |     0.6748  |   0.6432  |               |              0.5071  |
|          |      1  |      1.2793  |     0.7959  |   0.7305  |               |              0.9228  |
|          |      2  |      1.2178  |     0.8174  |   0.7660  |               |              1.3389  |
|          |      3  |      1.1562  |     0.8584  |   0.8324  |               |              1.7195  |
|          |      4  |      1.1357  |     0.8633  |   0.8015  |               |              2.1017  |
|          |      5  |      1.1172  |     0.8711  |   0.8438  |               |              2.4838  |
|          |      6  |      1.0596  |     0.9131  |   0.8814  |               |              2.8651  |
|          |      7  |      1.0391  |     0.9170  |   0.9021  |               |              3.2467  |
|          |      8  |      0.9839  |     0.9580  |   0.9060  |               |              3.6297  |
|          |      9  |      0.9746  |     0.9561  |   0.9297  |               |              4.0112  |
|          |     10  |      0.9351  |     0.9795  |   0.9336  |               |              4.3921  |
|          |   eval  |      0.9351  |     0.9795  |   0.9336  |       0.9422  |              4.5632  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4365  |     0.7061  |   0.6425  |               |              0.5078  |
|          |      1  |      1.2451  |     0.8252  |   0.7438  |               |              0.9234  |
|          |      2  |      1.2500  |     0.8213  |   0.7523  |               |              1.3415  |
|          |      3  |      1.1914  |     0.8398  |   0.7026  |               |              1.7230  |
|          |      4  |      1.1367  |     0.8701  |   0.8542  |               |              2.1054  |
|          |      5  |      1.1045  |     0.8896  |   0.8755  |               |              2.4878  |
|          |      6  |      1.0703  |     0.8965  |   0.8867  |               |              2.8698  |
|          |      7  |      1.0488  |     0.9160  |   0.8931  |               |              3.2508  |
|          |      8  |      1.0107  |     0.9434  |   0.9113  |               |              3.6337  |
|          |      9  |      0.9546  |     0.9707  |   0.9332  |               |              4.0155  |
|          |     10  |      0.9360  |     0.9834  |   0.9351  |               |              4.3961  |
|          |   eval  |      0.9360  |     0.9834  |   0.9351  |       0.9418  |              4.5667  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.4531  |     0.7080  |   0.6627  |               |              0.5032  |
|          |      1  |      1.2441  |     0.8213  |   0.7348  |               |              0.9179  |
|          |      2  |      1.1895  |     0.8447  |   0.8166  |               |              1.3349  |
|          |      3  |      1.1641  |     0.8730  |   0.8330  |               |              1.7166  |
|          |      4  |      1.1494  |     0.8701  |   0.7562  |               |              2.0996  |
|          |      5  |      1.1143  |     0.8828  |   0.8511  |               |              2.4804  |
|          |      6  |      1.0781  |     0.8965  |   0.8753  |               |              2.8627  |
|          |      7  |      1.0400  |     0.9180  |   0.8802  |               |              3.2442  |
|          |      8  |      0.9854  |     0.9541  |   0.9081  |               |              3.6258  |
|          |      9  |      0.9629  |     0.9609  |   0.9300  |               |              4.0082  |
|          |     10  |      0.9326  |     0.9824  |   0.9342  |               |              4.3902  |
|          |   eval  |      0.9326  |     0.9824  |   0.9342  |       0.9423  |              4.5605  |
------------------------------------------------------------------------------------------------------
|       6  |      0  |      1.4336  |     0.7061  |   0.6691  |               |              0.4203  |
|          |      1  |      1.2549  |     0.8174  |   0.7416  |               |              0.8360  |
|          |      2  |      1.2314  |     0.8193  |   0.8083  |               |              1.2551  |
|          |      3  |      1.2129  |     0.8154  |   0.8126  |               |              1.6393  |
|          |      4  |      1.1348  |     0.8760  |   0.8107  |               |              2.0231  |
|          |      5  |      1.1074  |     0.8779  |   0.8567  |               |              2.4068  |
|          |      6  |      1.0635  |     0.9043  |   0.8678  |               |              2.7881  |
|          |      7  |      1.0615  |     0.9053  |   0.8789  |               |              3.1716  |
|          |      8  |      1.0098  |     0.9414  |   0.9075  |               |              3.5539  |
|          |      9  |      0.9673  |     0.9609  |   0.9312  |               |              3.9369  |
|          |     10  |      0.9360  |     0.9824  |   0.9344  |               |              4.3199  |
|          |   eval  |      0.9360  |     0.9824  |   0.9344  |       0.9400  |              4.4900  |
------------------------------------------------------------------------------------------------------
|       7  |      0  |      1.4062  |     0.7227  |   0.6795  |               |              0.5044  |
|          |      1  |      1.2461  |     0.8135  |   0.7192  |               |              0.9204  |
|          |      2  |      1.2119  |     0.8291  |   0.8104  |               |              1.3382  |
|          |      3  |      1.1543  |     0.8613  |   0.7939  |               |              1.7201  |
|          |      4  |      1.1328  |     0.8730  |   0.8452  |               |              2.1022  |
|          |      5  |      1.1006  |     0.8887  |   0.8371  |               |              2.4847  |
|          |      6  |      1.0635  |     0.9092  |   0.8793  |               |              2.8667  |
|          |      7  |      1.0479  |     0.9199  |   0.8746  |               |              3.2490  |
|          |      8  |      0.9795  |     0.9619  |   0.9091  |               |              3.6315  |
|          |      9  |      0.9707  |     0.9648  |   0.9314  |               |              4.0148  |
|          |     10  |      0.9370  |     0.9785  |   0.9356  |               |              4.3959  |
|          |   eval  |      0.9370  |     0.9785  |   0.9356  |       0.9420  |              4.5670  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.4072  |     0.7373  |   0.6912  |               |              0.4191  |
|          |      1  |      1.3125  |     0.7773  |   0.6355  |               |              0.8351  |
|          |      2  |      1.2080  |     0.8438  |   0.8178  |               |              1.2532  |
|          |      3  |      1.1787  |     0.8535  |   0.8114  |               |              1.6361  |
|          |      4  |      1.1123  |     0.8770  |   0.8075  |               |              2.0194  |
|          |      5  |      1.1016  |     0.8916  |   0.8462  |               |              2.4027  |
|          |      6  |      1.0625  |     0.9082  |   0.8721  |               |              2.7854  |
|          |      7  |      1.0469  |     0.9111  |   0.8957  |               |              3.1685  |
|          |      8  |      0.9976  |     0.9443  |   0.9109  |               |              3.5499  |
