------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4053  |     0.7275  |   0.6797  |               |              8.2806  |
|          |      1  |      1.2715  |     0.8125  |   0.7284  |               |              8.6929  |
|          |      2  |      1.2139  |     0.8232  |   0.7916  |               |              9.1064  |
|          |      3  |      1.1572  |     0.8682  |   0.8296  |               |              9.4918  |
|          |      4  |      1.1699  |     0.8574  |   0.8372  |               |              9.8711  |
|          |      5  |      1.1230  |     0.8750  |   0.7758  |               |             10.2530  |
|          |      6  |      1.0771  |     0.9092  |   0.8729  |               |             10.6351  |
|          |      7  |      1.0703  |     0.8984  |   0.8789  |               |             11.0159  |
|          |      8  |      1.0225  |     0.9238  |   0.8989  |               |             11.3963  |
|          |      9  |      1.0049  |     0.9424  |   0.9179  |               |             11.7795  |
|          |     10  |      0.9585  |     0.9697  |   0.9221  |               |             12.1604  |
|          |     11  |      0.9263  |     0.9893  |   0.9334  |               |             12.5417  |
|          |   eval  |      0.9263  |     0.9893  |   0.9334  |       0.9394  |             12.5979  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4189  |     0.7188  |   0.6762  |               |              0.5004  |
|          |      1  |      1.2578  |     0.8252  |   0.7943  |               |              0.9151  |
|          |      2  |      1.2275  |     0.8223  |   0.7883  |               |              1.3323  |
|          |      3  |      1.1621  |     0.8643  |   0.7809  |               |              1.7134  |
|          |      4  |      1.1396  |     0.8691  |   0.7381  |               |              2.0949  |
|          |      5  |      1.1064  |     0.8789  |   0.8565  |               |              2.4752  |
|          |      6  |      1.0732  |     0.9189  |   0.8657  |               |              2.8564  |
|          |      7  |      1.0615  |     0.9160  |   0.8690  |               |              3.2384  |
|          |      8  |      1.0469  |     0.9131  |   0.9038  |               |              3.6191  |
|          |      9  |      0.9980  |     0.9443  |   0.9227  |               |              4.0005  |
|          |     10  |      0.9565  |     0.9707  |   0.9264  |               |              4.3820  |
|          |     11  |      0.9243  |     0.9883  |   0.9360  |               |              4.7631  |
|          |   eval  |      0.9243  |     0.9883  |   0.9360  |       0.9420  |              4.8196  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4209  |     0.7139  |   0.6934  |               |              0.4999  |
|          |      1  |      1.2617  |     0.8096  |   0.7347  |               |              0.9130  |
|          |      2  |      1.1992  |     0.8438  |   0.6851  |               |              1.3291  |
|          |      3  |      1.2012  |     0.8291  |   0.8381  |               |              1.7098  |
|          |      4  |      1.1445  |     0.8623  |   0.8517  |               |              2.0923  |
|          |      5  |      1.1104  |     0.8926  |   0.8394  |               |              2.4732  |
|          |      6  |      1.0742  |     0.9053  |   0.8852  |               |              2.8555  |
|          |      7  |      1.0654  |     0.9102  |   0.8744  |               |              3.2378  |
|          |      8  |      1.0342  |     0.9268  |   0.9006  |               |              3.6183  |
|          |      9  |      1.0088  |     0.9326  |   0.9207  |               |              4.0011  |
|          |     10  |      0.9551  |     0.9697  |   0.9250  |               |              4.3819  |
|          |     11  |      0.9263  |     0.9834  |   0.9355  |               |              4.7635  |
|          |   eval  |      0.9263  |     0.9834  |   0.9355  |       0.9424  |              4.8202  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4609  |     0.6895  |   0.6340  |               |              0.4179  |
|          |      1  |      1.2812  |     0.8057  |   0.6386  |               |              0.8333  |
|          |      2  |      1.2334  |     0.8135  |   0.7893  |               |              1.2501  |
|          |      3  |      1.1641  |     0.8652  |   0.8392  |               |              1.6320  |
|          |      4  |      1.1465  |     0.8516  |   0.7973  |               |              2.0136  |
|          |      5  |      1.1123  |     0.8809  |   0.8348  |               |              2.3947  |
|          |      6  |      1.0869  |     0.8896  |   0.8632  |               |              2.7767  |
|          |      7  |      1.0596  |     0.9160  |   0.8933  |               |              3.1582  |
|          |      8  |      1.0166  |     0.9258  |   0.8925  |               |              3.5389  |
|          |      9  |      1.0127  |     0.9404  |   0.9251  |               |              3.9210  |
|          |     10  |      0.9590  |     0.9688  |   0.9188  |               |              4.3030  |
|          |     11  |      0.9346  |     0.9775  |   0.9361  |               |              4.6853  |
|          |   eval  |      0.9346  |     0.9775  |   0.9361  |       0.9418  |              4.7419  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4355  |     0.7070  |   0.6295  |               |              0.5059  |
|          |      1  |      1.2520  |     0.8271  |   0.7584  |               |              0.9192  |
|          |      2  |      1.2471  |     0.8086  |   0.7963  |               |              1.3355  |
|          |      3  |      1.1982  |     0.8301  |   0.7349  |               |              1.7171  |
|          |      4  |      1.1514  |     0.8564  |   0.8454  |               |              2.0988  |
|          |      5  |      1.1113  |     0.8809  |   0.8690  |               |              2.4808  |
|          |      6  |      1.0840  |     0.9014  |   0.8663  |               |              2.8636  |
|          |      7  |      1.0635  |     0.9160  |   0.8878  |               |              3.2462  |
|          |      8  |      1.0312  |     0.9307  |   0.8954  |               |              3.6283  |
|          |      9  |      0.9971  |     0.9453  |   0.9259  |               |              4.0104  |
|          |     10  |      0.9639  |     0.9629  |   0.9260  |               |              4.3927  |
|          |     11  |      0.9277  |     0.9873  |   0.9360  |               |              4.7755  |
|          |   eval  |      0.9277  |     0.9873  |   0.9360  |       0.9396  |              4.8317  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.4404  |     0.7188  |   0.6767  |               |              0.5092  |
|          |      1  |      1.2568  |     0.8125  |   0.7714  |               |              0.9258  |
|          |      2  |      1.2383  |     0.8213  |   0.8085  |               |              1.3421  |
|          |      3  |      1.1602  |     0.8613  |   0.8338  |               |              1.7255  |
|          |      4  |      1.1621  |     0.8486  |   0.8058  |               |              2.1073  |
|          |      5  |      1.1094  |     0.8779  |   0.8204  |               |              2.4910  |
|          |      6  |      1.0879  |     0.8965  |   0.8418  |               |              2.8740  |
|          |      7  |      1.0635  |     0.9150  |   0.8737  |               |              3.2559  |
|          |      8  |      1.0078  |     0.9473  |   0.9019  |               |              3.6388  |
|          |      9  |      1.0039  |     0.9395  |   0.9243  |               |              4.0215  |
|          |     10  |      0.9541  |     0.9727  |   0.9256  |               |              4.4041  |
|          |     11  |      0.9316  |     0.9795  |   0.9375  |               |              4.7889  |
|          |   eval  |      0.9316  |     0.9795  |   0.9375  |       0.9443  |              4.8449  |
------------------------------------------------------------------------------------------------------
|       6  |      0  |      1.4434  |     0.7041  |   0.6814  |               |              0.4186  |
|          |      1  |      1.2549  |     0.8184  |   0.7231  |               |              0.8334  |
|          |      2  |      1.2295  |     0.8184  |   0.7696  |               |              1.2513  |
|          |      3  |      1.2197  |     0.8213  |   0.7919  |               |              1.6328  |
|          |      4  |      1.1367  |     0.8760  |   0.8325  |               |              2.0172  |
|          |      5  |      1.1055  |     0.8906  |   0.8583  |               |              2.3991  |
|          |      6  |      1.0752  |     0.8936  |   0.8588  |               |              2.7814  |
|          |      7  |      1.0928  |     0.8945  |   0.8441  |               |              3.1648  |
|          |      8  |      1.0352  |     0.9199  |   0.8945  |               |              3.5471  |
|          |      9  |      0.9941  |     0.9531  |   0.9189  |               |              3.9302  |
|          |     10  |      0.9541  |     0.9717  |   0.9276  |               |              4.3115  |
|          |     11  |      0.9238  |     0.9863  |   0.9357  |               |              4.6954  |
|          |   eval  |      0.9238  |     0.9863  |   0.9357  |       0.9412  |              4.7519  |
------------------------------------------------------------------------------------------------------
|       7  |      0  |      1.4209  |     0.7158  |   0.6646  |               |              0.5014  |
|          |      1  |      1.2383  |     0.8252  |   0.7137  |               |              0.9174  |
|          |      2  |      1.2256  |     0.8262  |   0.7831  |               |              1.3366  |
|          |      3  |      1.1484  |     0.8613  |   0.8135  |               |              1.7193  |
|          |      4  |      1.1533  |     0.8652  |   0.8396  |               |              2.1049  |
|          |      5  |      1.1162  |     0.8848  |   0.8407  |               |              2.4879  |
|          |      6  |      1.0869  |     0.8936  |   0.8453  |               |              2.8697  |
|          |      7  |      1.0801  |     0.8936  |   0.8468  |               |              3.2523  |
|          |      8  |      1.0000  |     0.9531  |   0.8979  |               |              3.6341  |
|          |      9  |      1.0098  |     0.9326  |   0.9240  |               |              4.0173  |
|          |     10  |      0.9570  |     0.9688  |   0.9244  |               |              4.4007  |
|          |     11  |      0.9282  |     0.9854  |   0.9351  |               |              4.7835  |
|          |   eval  |      0.9282  |     0.9854  |   0.9351  |       0.9414  |              4.8397  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.4004  |     0.7344  |   0.6805  |               |              0.5026  |
|          |      1  |      1.3164  |     0.7607  |   0.4647  |               |              0.9174  |
|          |      2  |      1.2266  |     0.8320  |   0.7953  |               |              1.3328  |
|          |      3  |      1.1914  |     0.8369  |   0.6509  |               |              1.7161  |
|          |      4  |      1.1123  |     0.8848  |   0.8182  |               |              2.0980  |
|          |      5  |      1.1211  |     0.8799  |   0.7621  |               |              2.4810  |
|          |      6  |      1.0762  |     0.8994  |   0.8752  |               |              2.8626  |
|          |      7  |      1.0703  |     0.9092  |   0.8629  |               |              3.2466  |
|          |      8  |      1.0205  |     0.9355  |   0.8930  |               |              3.6298  |
|          |      9  |      1.0117  |     0.9395  |   0.9199  |               |              4.0128  |
|          |     10  |      0.9614  |     0.9668  |   0.9191  |               |              4.3959  |
|          |     11  |      0.9194  |     0.9893  |   0.9330  |               |              4.7792  |
|          |   eval  |      0.9194  |     0.9893  |   0.9330  |       0.9414  |              4.8355  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.4434  |     0.6914  |   0.6382  |               |              0.5049  |
|          |      1  |      1.2490  |     0.8154  |   0.7861  |               |              0.9191  |
|          |      2  |      1.2568  |     0.8096  |   0.7098  |               |              1.3382  |
|          |      3  |      1.1689  |     0.8516  |   0.8086  |               |              1.7211  |
|          |      4  |      1.1221  |     0.8721  |   0.8542  |               |              2.1050  |
|          |      5  |      1.1045  |     0.8838  |   0.8504  |               |              2.4884  |
|          |      6  |      1.0723  |     0.8994  |   0.8677  |               |              2.8706  |
|          |      7  |      1.0732  |     0.9004  |   0.8707  |               |              3.2528  |
|          |      8  |      1.0195  |     0.9336  |   0.9002  |               |              3.6348  |
|          |      9  |      0.9980  |     0.9365  |   0.9213  |               |              4.0192  |
|          |     10  |      0.9463  |     0.9727  |   0.9287  |               |              4.4019  |
|          |     11  |      0.9214  |     0.9912  |   0.9346  |               |              4.7852  |
|          |   eval  |      0.9214  |     0.9912  |   0.9346  |       0.9435  |              4.8419  |
------------------------------------------------------------------------------------------------------
Mean: 0.9417    Std: 0.0015
/workspace/ese-3060-project/logs/33e2880f-0d02-4ede-a367-d8a839c132ee/log.pt
