------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4053  |     0.7275  |   0.6797  |               |              7.7653  |
|          |      1  |      1.2715  |     0.8125  |   0.7284  |               |              8.1768  |
|          |      2  |      1.2139  |     0.8232  |   0.7916  |               |              8.5906  |
|          |      3  |      1.1572  |     0.8682  |   0.8296  |               |              8.9726  |
|          |      4  |      1.1699  |     0.8574  |   0.8372  |               |              9.3543  |
|          |      5  |      1.1230  |     0.8750  |   0.7758  |               |              9.7360  |
|          |      6  |      1.0771  |     0.9092  |   0.8729  |               |             10.1158  |
|          |      7  |      1.0703  |     0.8984  |   0.8789  |               |             10.4963  |
|          |      8  |      1.0225  |     0.9238  |   0.8989  |               |             10.8782  |
|          |      9  |      1.0049  |     0.9424  |   0.9179  |               |             11.2581  |
|          |     10  |      0.9585  |     0.9697  |   0.9221  |               |             11.6385  |
|          |     11  |      0.9263  |     0.9893  |   0.9334  |               |             12.0203  |
|          |   eval  |      0.9263  |     0.9893  |   0.9334  |       0.9334  |             12.0482  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4189  |     0.7188  |   0.6762  |               |              0.5016  |
|          |      1  |      1.2578  |     0.8252  |   0.7943  |               |              0.9155  |
|          |      2  |      1.2275  |     0.8223  |   0.7883  |               |              1.3333  |
|          |      3  |      1.1621  |     0.8643  |   0.7809  |               |              1.7140  |
|          |      4  |      1.1396  |     0.8691  |   0.7381  |               |              2.0959  |
|          |      5  |      1.1064  |     0.8789  |   0.8565  |               |              2.4773  |
|          |      6  |      1.0732  |     0.9189  |   0.8657  |               |              2.8582  |
|          |      7  |      1.0615  |     0.9160  |   0.8690  |               |              3.2402  |
|          |      8  |      1.0469  |     0.9131  |   0.9038  |               |              3.6200  |
|          |      9  |      0.9980  |     0.9443  |   0.9227  |               |              4.0013  |
|          |     10  |      0.9565  |     0.9707  |   0.9264  |               |              4.3817  |
|          |     11  |      0.9243  |     0.9883  |   0.9360  |               |              4.7627  |
|          |   eval  |      0.9243  |     0.9883  |   0.9360  |       0.9360  |              4.7912  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4209  |     0.7139  |   0.6934  |               |              0.5055  |
|          |      1  |      1.2617  |     0.8096  |   0.7347  |               |              0.9186  |
|          |      2  |      1.1992  |     0.8438  |   0.6851  |               |              1.3392  |
|          |      3  |      1.2012  |     0.8291  |   0.8381  |               |              1.7191  |
|          |      4  |      1.1445  |     0.8623  |   0.8517  |               |              2.1001  |
|          |      5  |      1.1104  |     0.8926  |   0.8394  |               |              2.4817  |
|          |      6  |      1.0742  |     0.9053  |   0.8852  |               |              2.8632  |
|          |      7  |      1.0654  |     0.9102  |   0.8744  |               |              3.2445  |
|          |      8  |      1.0342  |     0.9268  |   0.9006  |               |              3.6266  |
|          |      9  |      1.0088  |     0.9326  |   0.9207  |               |              4.0083  |
|          |     10  |      0.9551  |     0.9697  |   0.9250  |               |              4.3883  |
|          |     11  |      0.9263  |     0.9834  |   0.9355  |               |              4.7703  |
|          |   eval  |      0.9263  |     0.9834  |   0.9355  |       0.9355  |              4.7985  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4609  |     0.6895  |   0.6340  |               |              0.5069  |
|          |      1  |      1.2812  |     0.8057  |   0.6386  |               |              0.9213  |
|          |      2  |      1.2334  |     0.8135  |   0.7893  |               |              1.3386  |
|          |      3  |      1.1641  |     0.8652  |   0.8392  |               |              1.7210  |
|          |      4  |      1.1465  |     0.8516  |   0.7973  |               |              2.1030  |
|          |      5  |      1.1123  |     0.8809  |   0.8348  |               |              2.4845  |
|          |      6  |      1.0869  |     0.8896  |   0.8632  |               |              2.8656  |
|          |      7  |      1.0596  |     0.9160  |   0.8933  |               |              3.2483  |
|          |      8  |      1.0166  |     0.9258  |   0.8925  |               |              3.6292  |
|          |      9  |      1.0127  |     0.9404  |   0.9251  |               |              4.0109  |
|          |     10  |      0.9590  |     0.9688  |   0.9188  |               |              4.3919  |
|          |     11  |      0.9346  |     0.9775  |   0.9361  |               |              4.7742  |
|          |   eval  |      0.9346  |     0.9775  |   0.9361  |       0.9361  |              4.8023  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4355  |     0.7070  |   0.6295  |               |              0.4229  |
|          |      1  |      1.2520  |     0.8271  |   0.7584  |               |              0.8385  |
|          |      2  |      1.2471  |     0.8086  |   0.7963  |               |              1.2569  |
|          |      3  |      1.1982  |     0.8301  |   0.7349  |               |              1.6386  |
|          |      4  |      1.1514  |     0.8564  |   0.8454  |               |              2.0194  |
|          |      5  |      1.1113  |     0.8809  |   0.8690  |               |              2.4021  |
|          |      6  |      1.0840  |     0.9014  |   0.8663  |               |              2.7834  |
|          |      7  |      1.0635  |     0.9160  |   0.8878  |               |              3.1647  |
|          |      8  |      1.0312  |     0.9307  |   0.8954  |               |              3.5479  |
|          |      9  |      0.9971  |     0.9453  |   0.9259  |               |              3.9300  |
|          |     10  |      0.9639  |     0.9629  |   0.9260  |               |              4.3110  |
|          |     11  |      0.9277  |     0.9873  |   0.9360  |               |              4.6943  |
