------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4053  |     0.7275  |   0.6797  |               |              8.0882  |
|          |      1  |      1.2715  |     0.8125  |   0.7284  |               |              8.5011  |
|          |      2  |      1.2139  |     0.8232  |   0.7916  |               |              8.9160  |
|          |      3  |      1.1572  |     0.8682  |   0.8296  |               |              9.2999  |
|          |      4  |      1.1699  |     0.8574  |   0.8372  |               |              9.6807  |
|          |      5  |      1.1230  |     0.8750  |   0.7758  |               |             10.0614  |
|          |      6  |      1.0771  |     0.9092  |   0.8729  |               |             10.4412  |
|          |      7  |      1.0703  |     0.8984  |   0.8789  |               |             10.8242  |
|          |      8  |      1.0225  |     0.9238  |   0.8989  |               |             11.2057  |
|          |      9  |      1.0049  |     0.9424  |   0.9179  |               |             11.5878  |
|          |     10  |      0.9585  |     0.9697  |   0.9221  |               |             11.9706  |
|          |     11  |      0.9263  |     0.9893  |   0.9334  |               |             12.3535  |
|          |   eval  |      0.9263  |     0.9893  |   0.9334  |       0.9426  |             12.5213  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4189  |     0.7188  |   0.6762  |               |              0.5020  |
|          |      1  |      1.2578  |     0.8252  |   0.7943  |               |              0.9160  |
|          |      2  |      1.2275  |     0.8223  |   0.7883  |               |              1.3325  |
|          |      3  |      1.1621  |     0.8643  |   0.7809  |               |              1.7132  |
|          |      4  |      1.1396  |     0.8691  |   0.7381  |               |              2.0953  |
|          |      5  |      1.1064  |     0.8789  |   0.8565  |               |              2.4757  |
|          |      6  |      1.0732  |     0.9189  |   0.8657  |               |              2.8576  |
|          |      7  |      1.0615  |     0.9160  |   0.8690  |               |              3.2396  |
|          |      8  |      1.0469  |     0.9131  |   0.9038  |               |              3.6207  |
|          |      9  |      0.9980  |     0.9443  |   0.9227  |               |              4.0032  |
|          |     10  |      0.9565  |     0.9707  |   0.9264  |               |              4.3839  |
|          |     11  |      0.9243  |     0.9883  |   0.9360  |               |              4.7661  |
|          |   eval  |      0.9243  |     0.9883  |   0.9360  |       0.9436  |              4.9355  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4209  |     0.7139  |   0.6934  |               |              0.4169  |
|          |      1  |      1.2617  |     0.8096  |   0.7347  |               |              0.8303  |
|          |      2  |      1.1992  |     0.8438  |   0.6851  |               |              1.2470  |
|          |      3  |      1.2012  |     0.8291  |   0.8381  |               |              1.6295  |
|          |      4  |      1.1445  |     0.8623  |   0.8517  |               |              2.0104  |
|          |      5  |      1.1104  |     0.8926  |   0.8394  |               |              2.3940  |
|          |      6  |      1.0742  |     0.9053  |   0.8852  |               |              2.7752  |
|          |      7  |      1.0654  |     0.9102  |   0.8744  |               |              3.1569  |
|          |      8  |      1.0342  |     0.9268  |   0.9006  |               |              3.5386  |
|          |      9  |      1.0088  |     0.9326  |   0.9207  |               |              3.9212  |
|          |     10  |      0.9551  |     0.9697  |   0.9250  |               |              4.3018  |
|          |     11  |      0.9263  |     0.9834  |   0.9355  |               |              4.6845  |
|          |   eval  |      0.9263  |     0.9834  |   0.9355  |       0.9429  |              4.8550  |
