------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4111  |     0.7168  |   0.6893  |               |              7.8130  |
|       0  |      1  |      1.2871  |     0.7939  |   0.6924  |               |              8.2233  |
|       0  |      2  |      1.1895  |     0.8555  |   0.8081  |               |              8.6371  |
|       0  |      3  |      1.1436  |     0.8604  |   0.8264  |               |              9.0200  |
|       0  |      4  |      1.1465  |     0.8701  |   0.8600  |               |              9.3981  |
|       0  |      5  |      1.1094  |     0.8877  |   0.8524  |               |              9.7815  |
|       0  |      6  |      1.0449  |     0.9209  |   0.8774  |               |             10.1603  |
|       0  |      7  |      1.0234  |     0.9336  |   0.8956  |               |             10.5420  |
|       0  |      8  |      0.9707  |     0.9561  |   0.9193  |               |             10.9224  |
|       0  |      9  |      0.9390  |     0.9805  |   0.9306  |               |             11.2713  |
|       0  |   eval  |      0.9390  |     0.9805  |   0.9306  |       0.9381  |             11.3852  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4062  |     0.7197  |   0.6849  |               |              0.5031  |
|       1  |      1  |      1.2822  |     0.8057  |   0.7149  |               |              0.9143  |
|       1  |      2  |      1.2070  |     0.8418  |   0.7960  |               |              1.3312  |
|       1  |      3  |      1.1406  |     0.8604  |   0.8303  |               |              1.7108  |
|       1  |      4  |      1.1348  |     0.8701  |   0.8426  |               |              2.0914  |
|       1  |      5  |      1.0781  |     0.9004  |   0.8518  |               |              2.4722  |
|       1  |      6  |      1.0439  |     0.9209  |   0.8823  |               |              2.8528  |
|       1  |      7  |      1.0117  |     0.9385  |   0.9029  |               |              3.2337  |
|       1  |      8  |      0.9790  |     0.9570  |   0.9180  |               |              3.6142  |
|       1  |      9  |      0.9443  |     0.9785  |   0.9316  |               |              3.9630  |
|       1  |   eval  |      0.9443  |     0.9785  |   0.9316  |       0.9366  |              4.0764  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4229  |     0.7070  |   0.6717  |               |              0.4169  |
|       2  |      1  |      1.2705  |     0.8027  |   0.7678  |               |              0.8275  |
|       2  |      2  |      1.1816  |     0.8477  |   0.6769  |               |              1.2437  |
|       2  |      3  |      1.1826  |     0.8398  |   0.8438  |               |              1.6235  |
|       2  |      4  |      1.1328  |     0.8672  |   0.8516  |               |              2.0040  |
|       2  |      5  |      1.0947  |     0.8867  |   0.8649  |               |              2.3848  |
|       2  |      6  |      1.0566  |     0.9082  |   0.8820  |               |              2.7646  |
|       2  |      7  |      1.0225  |     0.9258  |   0.8860  |               |              3.1466  |
|       2  |      8  |      0.9756  |     0.9648  |   0.9247  |               |              3.5268  |
|       2  |      9  |      0.9443  |     0.9766  |   0.9321  |               |              3.8766  |
|       2  |   eval  |      0.9443  |     0.9766  |   0.9321  |       0.9390  |              3.9897  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4541  |     0.6973  |   0.6388  |               |              0.5042  |
|       3  |      1  |      1.3027  |     0.7842  |   0.6124  |               |              0.9165  |
|       3  |      2  |      1.2061  |     0.8408  |   0.7690  |               |              1.3341  |
|       3  |      3  |      1.1504  |     0.8574  |   0.8425  |               |              1.7143  |
|       3  |      4  |      1.1221  |     0.8682  |   0.8200  |               |              2.0963  |
|       3  |      5  |      1.0947  |     0.8877  |   0.8715  |               |              2.4766  |
|       3  |      6  |      1.0332  |     0.9307  |   0.8883  |               |              2.8573  |
|       3  |      7  |      1.0146  |     0.9355  |   0.9035  |               |              3.2390  |
|       3  |      8  |      0.9653  |     0.9619  |   0.9205  |               |              3.6192  |
|       3  |      9  |      0.9424  |     0.9766  |   0.9330  |               |              3.9696  |
|       3  |   eval  |      0.9424  |     0.9766  |   0.9330  |       0.9386  |              4.0831  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4277  |     0.7021  |   0.6237  |               |              0.5059  |
|       4  |      1  |      1.2734  |     0.8047  |   0.6981  |               |              0.9205  |
|       4  |      2  |      1.2246  |     0.8232  |   0.7509  |               |              1.3360  |
|       4  |      3  |      1.1904  |     0.8438  |   0.8328  |               |              1.7169  |
|       4  |      4  |      1.1230  |     0.8779  |   0.8637  |               |              2.0984  |
|       4  |      5  |      1.0859  |     0.9033  |   0.8677  |               |              2.4790  |
|       4  |      6  |      1.0527  |     0.9053  |   0.8960  |               |              2.8599  |
|       4  |      7  |      1.0186  |     0.9365  |   0.9090  |               |              3.2413  |
|       4  |      8  |      0.9814  |     0.9541  |   0.9200  |               |              3.6210  |
|       4  |      9  |      0.9434  |     0.9795  |   0.9322  |               |              3.9709  |
|       4  |   eval  |      0.9434  |     0.9795  |   0.9322  |       0.9384  |              4.0846  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.4316  |     0.7090  |   0.6944  |               |              0.5021  |
|       5  |      1  |      1.2666  |     0.8027  |   0.7679  |               |              0.9161  |
|       5  |      2  |      1.1846  |     0.8516  |   0.8068  |               |              1.3313  |
|       5  |      3  |      1.1504  |     0.8652  |   0.8387  |               |              1.7119  |
|       5  |      4  |      1.1299  |     0.8789  |   0.8325  |               |              2.0919  |
|       5  |      5  |      1.0986  |     0.8926  |   0.8267  |               |              2.4740  |
|       5  |      6  |      1.0527  |     0.9150  |   0.8933  |               |              2.8548  |
|       5  |      7  |      1.0205  |     0.9346  |   0.8924  |               |              3.2360  |
|       5  |      8  |      0.9639  |     0.9668  |   0.9242  |               |              3.6177  |
|       5  |      9  |      0.9341  |     0.9863  |   0.9315  |               |              3.9686  |
|       5  |   eval  |      0.9341  |     0.9863  |   0.9315  |       0.9380  |              4.0824  |
------------------------------------------------------------------------------------------------------
|       6  |      0  |      1.4395  |     0.6973  |   0.6545  |               |              0.4174  |
|       6  |      1  |      1.2451  |     0.8154  |   0.7218  |               |              0.8304  |
|       6  |      2  |      1.2227  |     0.8213  |   0.8007  |               |              1.2462  |
|       6  |      3  |      1.1934  |     0.8389  |   0.8146  |               |              1.6279  |
|       6  |      4  |      1.1406  |     0.8584  |   0.8444  |               |              2.0107  |
|       6  |      5  |      1.0869  |     0.8906  |   0.8729  |               |              2.3916  |
|       6  |      6  |      1.0361  |     0.9170  |   0.8893  |               |              2.7722  |
|       6  |      7  |      1.0439  |     0.9277  |   0.9027  |               |              3.1545  |
|       6  |      8  |      0.9844  |     0.9492  |   0.9235  |               |              3.5353  |
|       6  |      9  |      0.9395  |     0.9805  |   0.9329  |               |              3.8853  |
|       6  |   eval  |      0.9395  |     0.9805  |   0.9329  |       0.9388  |              3.9991  |
------------------------------------------------------------------------------------------------------
|       7  |      0  |      1.4277  |     0.7139  |   0.6768  |               |              0.4174  |
|       7  |      1  |      1.2451  |     0.8184  |   0.6890  |               |              0.8320  |
|       7  |      2  |      1.2061  |     0.8350  |   0.7830  |               |              1.2485  |
|       7  |      3  |      1.1348  |     0.8750  |   0.8172  |               |              1.6308  |
|       7  |      4  |      1.1348  |     0.8750  |   0.8513  |               |              2.0131  |
|       7  |      5  |      1.0811  |     0.9082  |   0.8674  |               |              2.3948  |
|       7  |      6  |      1.0420  |     0.9258  |   0.8890  |               |              2.7763  |
|       7  |      7  |      1.0273  |     0.9277  |   0.8978  |               |              3.1581  |
|       7  |      8  |      0.9629  |     0.9658  |   0.9171  |               |              3.5381  |
|       7  |      9  |      0.9395  |     0.9775  |   0.9322  |               |              3.8896  |
|       7  |   eval  |      0.9395  |     0.9775  |   0.9322  |       0.9395  |              4.0035  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.3916  |     0.7393  |   0.6977  |               |              0.4948  |
|       8  |      1  |      1.2881  |     0.7891  |   0.6577  |               |              0.9092  |
|       8  |      2  |      1.2217  |     0.8164  |   0.7990  |               |              1.3241  |
|       8  |      3  |      1.1807  |     0.8506  |   0.7943  |               |              1.7053  |
|       8  |      4  |      1.1084  |     0.8779  |   0.8158  |               |              2.0882  |
|       8  |      5  |      1.0840  |     0.8955  |   0.8335  |               |              2.4687  |
|       8  |      6  |      1.0381  |     0.9238  |   0.8955  |               |              2.8498  |
|       8  |      7  |      1.0127  |     0.9404  |   0.9041  |               |              3.2322  |
|       8  |      8  |      0.9741  |     0.9570  |   0.9227  |               |              3.6134  |
|       8  |      9  |      0.9590  |     0.9668  |   0.9320  |               |              3.9643  |
|       8  |   eval  |      0.9590  |     0.9668  |   0.9320  |       0.9380  |              4.0780  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.5127  |     0.6348  |   0.5641  |               |              0.4936  |
|       9  |      1  |      1.2432  |     0.8213  |   0.7041  |               |              0.9079  |
|       9  |      2  |      1.2178  |     0.8311  |   0.6755  |               |              1.3252  |
|       9  |      3  |      1.1514  |     0.8623  |   0.7649  |               |              1.7066  |
