------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4150  |     0.7178  |   0.6813  |               |              8.1014  |
|          |      1  |      1.2725  |     0.7998  |   0.7027  |               |              8.5152  |
|          |      2  |      1.2041  |     0.8408  |   0.8220  |               |              8.9270  |
|          |      3  |      1.1582  |     0.8594  |   0.7998  |               |              9.3122  |
|          |      4  |      1.1582  |     0.8594  |   0.8452  |               |              9.6920  |
|          |      5  |      1.1064  |     0.8779  |   0.7748  |               |             10.0736  |
|          |      6  |      1.0664  |     0.9229  |   0.8741  |               |             10.4535  |
|          |      7  |      1.0410  |     0.9219  |   0.8964  |               |             10.8351  |
|          |      8  |      0.9971  |     0.9404  |   0.9029  |               |             11.2177  |
|          |      9  |      0.9668  |     0.9580  |   0.9246  |               |             11.5978  |
|          |     10  |      0.9404  |     0.9736  |   0.9302  |               |             11.9830  |
|          |   eval  |      0.9404  |     0.9736  |   0.9302  |       0.9387  |             12.0391  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4219  |     0.7031  |   0.6685  |               |              0.5025  |
|          |      1  |      1.2607  |     0.8203  |   0.7766  |               |              0.9174  |
|          |      2  |      1.2041  |     0.8340  |   0.7701  |               |              1.3341  |
|          |      3  |      1.1572  |     0.8564  |   0.7562  |               |              1.7149  |
|          |      4  |      1.1377  |     0.8643  |   0.8065  |               |              2.0981  |
|          |      5  |      1.0928  |     0.8965  |   0.8412  |               |              2.4785  |
|          |      6  |      1.0713  |     0.9004  |   0.8689  |               |              2.8623  |
|          |      7  |      1.0410  |     0.9297  |   0.8813  |               |              3.2435  |
|          |      8  |      1.0107  |     0.9336  |   0.9067  |               |              3.6240  |
|          |      9  |      0.9731  |     0.9570  |   0.9318  |               |              4.0058  |
|          |     10  |      0.9409  |     0.9795  |   0.9334  |               |              4.3861  |
|          |   eval  |      0.9409  |     0.9795  |   0.9334  |       0.9403  |              4.4423  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4248  |     0.7070  |   0.6783  |               |              0.4170  |
|          |      1  |      1.2578  |     0.8115  |   0.7855  |               |              0.8318  |
|          |      2  |      1.1973  |     0.8418  |   0.7213  |               |              1.2469  |
|          |      3  |      1.1914  |     0.8340  |   0.8279  |               |              1.6289  |
|          |      4  |      1.1406  |     0.8662  |   0.8287  |               |              2.0105  |
|          |      5  |      1.0996  |     0.8984  |   0.8717  |               |              2.3921  |
|          |      6  |      1.0693  |     0.9023  |   0.8746  |               |              2.7741  |
|          |      7  |      1.0469  |     0.9219  |   0.8789  |               |              3.1550  |
|          |      8  |      1.0107  |     0.9375  |   0.9096  |               |              3.5342  |
|          |      9  |      0.9800  |     0.9541  |   0.9297  |               |              3.9161  |
|          |     10  |      0.9292  |     0.9863  |   0.9346  |               |              4.2974  |
|          |   eval  |      0.9292  |     0.9863  |   0.9346  |       0.9409  |              4.3534  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4668  |     0.6748  |   0.6432  |               |              0.5076  |
