------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4082  |     0.7207  |   0.6861  |               |              7.7992  |
|          |      1  |      1.2617  |     0.8066  |   0.7491  |               |              8.2137  |
|          |      2  |      1.2100  |     0.8438  |   0.7856  |               |              8.6290  |
|          |      3  |      1.1504  |     0.8740  |   0.7763  |               |              9.0114  |
|          |      4  |      1.1826  |     0.8438  |   0.8360  |               |              9.3922  |
|          |      5  |      1.1436  |     0.8643  |   0.8162  |               |              9.7745  |
|          |      6  |      1.0957  |     0.8936  |   0.8684  |               |             10.1546  |
|          |      7  |      1.0898  |     0.8857  |   0.8633  |               |             10.5373  |
|          |      8  |      1.0293  |     0.9287  |   0.8846  |               |             10.9179  |
|          |      9  |      1.0195  |     0.9248  |   0.9071  |               |             11.2985  |
|          |     10  |      0.9893  |     0.9502  |   0.9124  |               |             11.6812  |
|          |     11  |      0.9399  |     0.9824  |   0.9307  |               |             12.0619  |
|          |     12  |      0.9155  |     0.9932  |   0.9351  |               |             12.4427  |
|          |   eval  |      0.9155  |     0.9932  |   0.9351  |       0.9434  |             12.6131  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4277  |     0.6943  |   0.6769  |               |              0.4190  |
|          |      1  |      1.2666  |     0.8115  |   0.7953  |               |              0.8338  |
|          |      2  |      1.2578  |     0.8066  |   0.7106  |               |              1.2518  |
|          |      3  |      1.1768  |     0.8584  |   0.8172  |               |              1.6317  |
|          |      4  |      1.1465  |     0.8672  |   0.7873  |               |              2.0157  |
|          |      5  |      1.0938  |     0.8965  |   0.8399  |               |              2.3987  |
|          |      6  |      1.0928  |     0.8955  |   0.8577  |               |              2.7798  |
|          |      7  |      1.0742  |     0.9043  |   0.8504  |               |              3.1627  |
|          |      8  |      1.0674  |     0.9014  |   0.8839  |               |              3.5448  |
|          |      9  |      1.0098  |     0.9414  |   0.9154  |               |              3.9263  |
|          |     10  |      0.9888  |     0.9541  |   0.9146  |               |              4.3082  |
|          |     11  |      0.9346  |     0.9814  |   0.9313  |               |              4.6903  |
|          |     12  |      0.9341  |     0.9766  |   0.9354  |               |              5.0708  |
|          |   eval  |      0.9341  |     0.9766  |   0.9354  |       0.9450  |              5.2424  |
------------------------------------------------------------------------------------------------------
