experiment,git_hash,seed,tta_level,train_epochs,batch_size,lr,momentum,weight_decay,label_smoothing,whiten_bias_epochs,gpu_name,gpu_count,instance,run,total_time_seconds,final_tta_acc
grid_tta0_ep11.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,0,11.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.417300039291383,0.9350999593734741
grid_tta0_ep11.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,0,11.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.319807651519775,0.9341999888420105
grid_tta0_ep11.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,0,11.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.408957244634628,0.9343999624252319
grid_tta0_ep11.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,0,11.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.3226167571544645,0.9355999827384949
grid_tta0_ep11.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,0,11.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.401093087673187,0.9350000023841858
grid_tta0_ep11.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,0,11.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.412853195190429,0.9341999888420105
grid_tta0_ep12.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,0,12.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,12.048188489913942,0.9333999752998352
grid_tta0_ep12.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,0,12.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.791158994436265,0.9359999895095825
grid_tta0_ep12.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,0,12.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.798504373550415,0.9354999661445618
grid_tta0_ep12.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,0,12.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.802325399637223,0.9361000061035156
grid_tta0_ep12.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,0,12.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.722689729213714,0.9359999895095825
grid_tta0_ep12.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,0,12.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.720446041107178,0.9375
grid_tta0_ep12.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,0,12.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.806725558519364,0.935699999332428
grid_tta0_ep12.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,0,12.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.81620870423317,0.9350999593734741
grid_tta0_ep12.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,0,12.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.811671744346619,0.9329999685287476
grid_tta0_ep12.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,0,12.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.815167755365371,0.9345999956130981
grid_tta0_ep13.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,0,13.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,12.454008895874026,0.9350999593734741
grid_tta0_ep13.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,0,13.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,5.170977353334426,0.9353999495506287
grid_tta0_ep13.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,0,13.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,5.082738141298294,0.9350000023841858
grid_tta0_ep13.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,0,13.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,5.086698335170747,0.9372999668121338
grid_tta0_ep13.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,0,13.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,5.0892165224552155,0.936199963092804
grid_tta0_ep13.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,0,13.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,5.0935259289741515,0.937999963760376
grid_tta0_ep13.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,0,13.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,5.18030766415596,0.9357999563217163
grid_tta0_ep13.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,0,13.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,5.189644034147263,0.9366999864578247
grid_tta0_ep13.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,0,13.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,5.186872932434082,0.9346999526023865
grid_tta0_ep13.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,0,13.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,5.1831587731838225,0.9332999587059021
grid_tta1_ep9.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,9.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,11.032772693634035,0.9377999901771545
grid_tta1_ep9.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,9.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,3.6727117187976837,0.9357999563217163
grid_tta1_ep9.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,9.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,3.6768584008216854,0.9343999624252319
grid_tta1_ep9.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,9.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,3.6755723619461063,0.9368999600410461
grid_tta1_ep9.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,9.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,3.672773352384567,0.9386000037193298
grid_tta1_ep9.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,9.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,3.67697263264656,0.937999963760376
grid_tta1_ep9.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,9.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,3.594595394611359,0.9363999962806702
grid_tta1_ep9.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,9.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,3.5973068172931675,0.9388999938964844
grid_tta1_ep9.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,9.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,3.5978570308685294,0.9354999661445618
grid_tta1_ep9.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,9.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,3.6824019458293917,0.9351999759674072
grid_tta1_ep9.9,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,9.9,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,12.11951481246948,0.9380999803543091
grid_tta1_ep9.9,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,9.9,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.028414245128632,0.9365999698638916
