------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4111  |     0.7168  |   0.6893  |               |              8.2469  |
|       0  |      1  |      1.2871  |     0.7939  |   0.6924  |               |              8.6615  |
|       0  |      2  |      1.1895  |     0.8555  |   0.8081  |               |              9.0756  |
|       0  |      3  |      1.1436  |     0.8604  |   0.8264  |               |              9.4573  |
|       0  |      4  |      1.1465  |     0.8701  |   0.8600  |               |              9.8384  |
|       0  |      5  |      1.1094  |     0.8877  |   0.8524  |               |             10.2207  |
|       0  |      6  |      1.0449  |     0.9209  |   0.8774  |               |             10.6012  |
|       0  |      7  |      1.0234  |     0.9336  |   0.8956  |               |             10.9830  |
|       0  |      8  |      0.9707  |     0.9561  |   0.9193  |               |             11.3640  |
|       0  |      9  |      0.9390  |     0.9805  |   0.9306  |               |             11.7141  |
|       0  |   eval  |      0.9390  |     0.9805  |   0.9306  |       0.9391  |             11.8278  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4062  |     0.7197  |   0.6849  |               |              0.5010  |
|       1  |      1  |      1.2822  |     0.8057  |   0.7149  |               |              0.9151  |
|       1  |      2  |      1.2070  |     0.8418  |   0.7960  |               |              1.3302  |
|       1  |      3  |      1.1406  |     0.8604  |   0.8303  |               |              1.7120  |
|       1  |      4  |      1.1348  |     0.8701  |   0.8426  |               |              2.0925  |
|       1  |      5  |      1.0781  |     0.9004  |   0.8518  |               |              2.4731  |
|       1  |      6  |      1.0439  |     0.9209  |   0.8823  |               |              2.8544  |
|       1  |      7  |      1.0117  |     0.9385  |   0.9029  |               |              3.2355  |
|       1  |      8  |      0.9790  |     0.9570  |   0.9180  |               |              3.6163  |
|       1  |      9  |      0.9443  |     0.9785  |   0.9316  |               |              3.9665  |
|       1  |   eval  |      0.9443  |     0.9785  |   0.9316  |       0.9375  |              4.0798  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4229  |     0.7070  |   0.6717  |               |              0.4993  |
|       2  |      1  |      1.2705  |     0.8027  |   0.7678  |               |              0.9113  |
|       2  |      2  |      1.1816  |     0.8477  |   0.6769  |               |              1.3273  |
|       2  |      3  |      1.1826  |     0.8398  |   0.8438  |               |              1.7082  |
|       2  |      4  |      1.1328  |     0.8672  |   0.8516  |               |              2.0889  |
|       2  |      5  |      1.0947  |     0.8867  |   0.8649  |               |              2.4709  |
|       2  |      6  |      1.0566  |     0.9082  |   0.8820  |               |              2.8519  |
|       2  |      7  |      1.0225  |     0.9258  |   0.8860  |               |              3.2334  |
|       2  |      8  |      0.9756  |     0.9648  |   0.9247  |               |              3.6134  |
|       2  |      9  |      0.9443  |     0.9766  |   0.9321  |               |              3.9644  |
|       2  |   eval  |      0.9443  |     0.9766  |   0.9321  |       0.9395  |              4.0778  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4541  |     0.6973  |   0.6388  |               |              0.5044  |
|       3  |      1  |      1.3027  |     0.7842  |   0.6124  |               |              0.9175  |
|       3  |      2  |      1.2061  |     0.8408  |   0.7690  |               |              1.3320  |
|       3  |      3  |      1.1504  |     0.8574  |   0.8425  |               |              1.7136  |
|       3  |      4  |      1.1221  |     0.8682  |   0.8200  |               |              2.0942  |
|       3  |      5  |      1.0947  |     0.8877  |   0.8715  |               |              2.4774  |
|       3  |      6  |      1.0332  |     0.9307  |   0.8883  |               |              2.8585  |
|       3  |      7  |      1.0146  |     0.9355  |   0.9035  |               |              3.2401  |
|       3  |      8  |      0.9653  |     0.9619  |   0.9205  |               |              3.6221  |
|       3  |      9  |      0.9424  |     0.9766  |   0.9330  |               |              3.9720  |
|       3  |   eval  |      0.9424  |     0.9766  |   0.9330  |       0.9389  |              4.0864  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4277  |     0.7021  |   0.6237  |               |              0.5061  |
