------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4053  |     0.7217  |   0.7024  |               |              8.1975  |
|       0  |      1  |      1.2832  |     0.7900  |   0.6734  |               |              8.6097  |
|       0  |      2  |      1.1807  |     0.8506  |   0.7873  |               |              9.0227  |
|       0  |      3  |      1.1514  |     0.8691  |   0.8152  |               |              9.4081  |
|       0  |      4  |      1.1387  |     0.8633  |   0.8500  |               |              9.7875  |
|       0  |      5  |      1.0957  |     0.8965  |   0.8028  |               |             10.1714  |
|       0  |      6  |      1.0449  |     0.9199  |   0.8849  |               |             10.5528  |
|       0  |      7  |      1.0312  |     0.9189  |   0.8995  |               |             10.9344  |
|       0  |      8  |      0.9751  |     0.9561  |   0.9090  |               |             11.3167  |
|       0  |      9  |      0.9468  |     0.9697  |   0.9321  |               |             11.6981  |
|       0  |     10  |      0.9302  |     0.9854  |   0.9333  |               |             11.7843  |
|       0  |   eval  |      0.9302  |     0.9854  |   0.9333  |       0.9383  |             11.8971  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4141  |     0.7119  |   0.6875  |               |              0.5032  |
|       1  |      1  |      1.2744  |     0.8174  |   0.7449  |               |              0.9175  |
|       1  |      2  |      1.1982  |     0.8350  |   0.7669  |               |              1.3355  |
|       1  |      3  |      1.1523  |     0.8555  |   0.8204  |               |              1.7169  |
|       1  |      4  |      1.1279  |     0.8770  |   0.8365  |               |              2.0985  |
|       1  |      5  |      1.0801  |     0.9043  |   0.8292  |               |              2.4817  |
|       1  |      6  |      1.0605  |     0.9121  |   0.8779  |               |              2.8621  |
|       1  |      7  |      1.0264  |     0.9375  |   0.8937  |               |              3.2437  |
|       1  |      8  |      0.9878  |     0.9414  |   0.9167  |               |              3.6262  |
|       1  |      9  |      0.9438  |     0.9775  |   0.9288  |               |              4.0071  |
|       1  |     10  |      0.9312  |     0.9824  |   0.9296  |               |              4.0915  |
|       1  |   eval  |      0.9312  |     0.9824  |   0.9296  |       0.9389  |              4.2051  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4189  |     0.7041  |   0.6905  |               |              0.4191  |
|       2  |      1  |      1.2617  |     0.8076  |   0.7235  |               |              0.8340  |
|       2  |      2  |      1.1758  |     0.8584  |   0.7204  |               |              1.2476  |
|       2  |      3  |      1.1758  |     0.8379  |   0.8302  |               |              1.6283  |
|       2  |      4  |      1.1494  |     0.8662  |   0.8317  |               |              2.0114  |
|       2  |      5  |      1.0918  |     0.8984  |   0.8680  |               |              2.3950  |
|       2  |      6  |      1.0635  |     0.9023  |   0.8820  |               |              2.7760  |
|       2  |      7  |      1.0293  |     0.9287  |   0.8874  |               |              3.1587  |
|       2  |      8  |      0.9834  |     0.9512  |   0.9201  |               |              3.5395  |
|       2  |      9  |      0.9565  |     0.9707  |   0.9341  |               |              3.9214  |
|       2  |     10  |      0.9229  |     0.9863  |   0.9338  |               |              4.0061  |
|       2  |   eval  |      0.9229  |     0.9863  |   0.9338  |       0.9380  |              4.1183  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4492  |     0.6963  |   0.6693  |               |              0.5030  |
|       3  |      1  |      1.2832  |     0.7920  |   0.6246  |               |              0.9177  |
|       3  |      2  |      1.2080  |     0.8350  |   0.8086  |               |              1.3356  |
|       3  |      3  |      1.1455  |     0.8682  |   0.8212  |               |              1.7169  |
|       3  |      4  |      1.1182  |     0.8701  |   0.8331  |               |              2.0994  |
|       3  |      5  |      1.0908  |     0.8916  |   0.8620  |               |              2.4810  |
|       3  |      6  |      1.0439  |     0.9150  |   0.8869  |               |              2.8630  |
|       3  |      7  |      1.0254  |     0.9277  |   0.9040  |               |              3.2451  |
|       3  |      8  |      0.9727  |     0.9590  |   0.9185  |               |              3.6262  |
|       3  |      9  |      0.9536  |     0.9717  |   0.9320  |               |              4.0090  |
|       3  |     10  |      0.9292  |     0.9893  |   0.9332  |               |              4.0961  |
|       3  |   eval  |      0.9292  |     0.9893  |   0.9332  |       0.9397  |              4.2088  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4375  |     0.7002  |   0.5635  |               |              0.4839  |
|       4  |      1  |      1.2529  |     0.8154  |   0.7164  |               |              0.8976  |
|       4  |      2  |      1.2314  |     0.8242  |   0.8088  |               |              1.3158  |
|       4  |      3  |      1.1904  |     0.8379  |   0.7677  |               |              1.6988  |
|       4  |      4  |      1.1201  |     0.8799  |   0.8373  |               |              2.0817  |
|       4  |      5  |      1.0947  |     0.8965  |   0.8741  |               |              2.4645  |
|       4  |      6  |      1.0518  |     0.9170  |   0.8965  |               |              2.8476  |
|       4  |      7  |      1.0244  |     0.9287  |   0.8997  |               |              3.2311  |
|       4  |      8  |      0.9946  |     0.9434  |   0.9168  |               |              3.6155  |
|       4  |      9  |      0.9448  |     0.9795  |   0.9335  |               |              3.9977  |
|       4  |     10  |      0.9375  |     0.9795  |   0.9337  |               |              4.0826  |
|       4  |   eval  |      0.9375  |     0.9795  |   0.9337  |       0.9412  |              4.1959  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.4551  |     0.6934  |   0.6372  |               |              0.4996  |
|       5  |      1  |      1.2568  |     0.8145  |   0.7527  |               |              0.9135  |
|       5  |      2  |      1.2002  |     0.8438  |   0.8240  |               |              1.3295  |
|       5  |      3  |      1.1494  |     0.8672  |   0.8306  |               |              1.7120  |
|       5  |      4  |      1.1387  |     0.8633  |   0.8555  |               |              2.0949  |
|       5  |      5  |      1.0898  |     0.8945  |   0.8382  |               |              2.4756  |
|       5  |      6  |      1.0576  |     0.9102  |   0.8762  |               |              2.8579  |
|       5  |      7  |      1.0244  |     0.9287  |   0.9000  |               |              3.2409  |
|       5  |      8  |      0.9722  |     0.9619  |   0.9162  |               |              3.6226  |
|       5  |      9  |      0.9546  |     0.9668  |   0.9336  |               |              4.0063  |
|       5  |     10  |      0.9297  |     0.9863  |   0.9342  |               |              4.0913  |
|       5  |   eval  |      0.9297  |     0.9863  |   0.9342  |       0.9397  |              4.2046  |
------------------------------------------------------------------------------------------------------
|       6  |      0  |      1.4434  |     0.7002  |   0.6309  |               |              0.5075  |
|       6  |      1  |      1.2490  |     0.8184  |   0.7550  |               |              0.9217  |
|       6  |      2  |      1.2471  |     0.8115  |   0.7682  |               |              1.3373  |
|       6  |      3  |      1.2129  |     0.8184  |   0.7787  |               |              1.7194  |
|       6  |      4  |      1.1250  |     0.8740  |   0.8478  |               |              2.1031  |
|       6  |      5  |      1.0977  |     0.8838  |   0.8619  |               |              2.4857  |
|       6  |      6  |      1.0410  |     0.9180  |   0.8870  |               |              2.8678  |
|       6  |      7  |      1.0479  |     0.9170  |   0.8875  |               |              3.2506  |
|       6  |      8  |      0.9888  |     0.9482  |   0.9202  |               |              3.6327  |
|       6  |      9  |      0.9473  |     0.9707  |   0.9317  |               |              4.0149  |
|       6  |     10  |      0.9390  |     0.9805  |   0.9325  |               |              4.1002  |
|       6  |   eval  |      0.9390  |     0.9805  |   0.9325  |       0.9379  |              4.2139  |
------------------------------------------------------------------------------------------------------
|       7  |      0  |      1.3965  |     0.7373  |   0.6909  |               |              0.4183  |
|       7  |      1  |      1.2461  |     0.8203  |   0.7448  |               |              0.8325  |
