------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4111  |     0.7168  |   0.6893  |               |              8.3623  |
|       0  |      1  |      1.2871  |     0.7939  |   0.6924  |               |              8.7775  |
|       0  |      2  |      1.1895  |     0.8555  |   0.8081  |               |              9.1918  |
|       0  |      3  |      1.1436  |     0.8604  |   0.8264  |               |              9.5762  |
|       0  |      4  |      1.1465  |     0.8701  |   0.8600  |               |              9.9547  |
|       0  |      5  |      1.1094  |     0.8877  |   0.8524  |               |             10.3387  |
|       0  |      6  |      1.0449  |     0.9209  |   0.8774  |               |             10.7183  |
|       0  |      7  |      1.0234  |     0.9336  |   0.8956  |               |             11.0976  |
|       0  |      8  |      0.9707  |     0.9561  |   0.9193  |               |             11.4799  |
|       0  |      9  |      0.9390  |     0.9805  |   0.9306  |               |             11.8280  |
|       0  |   eval  |      0.9390  |     0.9805  |   0.9306  |       0.9391  |             11.9408  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4062  |     0.7197  |   0.6849  |               |              0.5066  |
|       1  |      1  |      1.2822  |     0.8057  |   0.7149  |               |              0.9187  |
|       1  |      2  |      1.2070  |     0.8418  |   0.7960  |               |              1.3368  |
|       1  |      3  |      1.1406  |     0.8604  |   0.8303  |               |              1.7168  |
|       1  |      4  |      1.1348  |     0.8701  |   0.8426  |               |              2.0985  |
|       1  |      5  |      1.0781  |     0.9004  |   0.8518  |               |              2.4797  |
|       1  |      6  |      1.0439  |     0.9209  |   0.8823  |               |              2.8594  |
|       1  |      7  |      1.0117  |     0.9385  |   0.9029  |               |              3.2416  |
|       1  |      8  |      0.9790  |     0.9570  |   0.9180  |               |              3.6221  |
|       1  |      9  |      0.9443  |     0.9785  |   0.9316  |               |              3.9737  |
|       1  |   eval  |      0.9443  |     0.9785  |   0.9316  |       0.9375  |              4.0867  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4229  |     0.7070  |   0.6717  |               |              0.5067  |
|       2  |      1  |      1.2705  |     0.8027  |   0.7678  |               |              0.9208  |
|       2  |      2  |      1.1816  |     0.8477  |   0.6769  |               |              1.3395  |
|       2  |      3  |      1.1826  |     0.8398  |   0.8438  |               |              1.7202  |
|       2  |      4  |      1.1328  |     0.8672  |   0.8516  |               |              2.1036  |
|       2  |      5  |      1.0947  |     0.8867  |   0.8649  |               |              2.4860  |
|       2  |      6  |      1.0566  |     0.9082  |   0.8820  |               |              2.8663  |
|       2  |      7  |      1.0225  |     0.9258  |   0.8860  |               |              3.2484  |
|       2  |      8  |      0.9756  |     0.9648  |   0.9247  |               |              3.6296  |
|       2  |      9  |      0.9443  |     0.9766  |   0.9321  |               |              3.9809  |
|       2  |   eval  |      0.9443  |     0.9766  |   0.9321  |       0.9395  |              4.0937  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4541  |     0.6973  |   0.6388  |               |              0.5036  |
|       3  |      1  |      1.3027  |     0.7842  |   0.6124  |               |              0.9182  |
|       3  |      2  |      1.2061  |     0.8408  |   0.7690  |               |              1.3399  |
|       3  |      3  |      1.1504  |     0.8574  |   0.8425  |               |              1.7232  |
|       3  |      4  |      1.1221  |     0.8682  |   0.8200  |               |              2.1036  |
|       3  |      5  |      1.0947  |     0.8877  |   0.8715  |               |              2.4854  |
|       3  |      6  |      1.0332  |     0.9307  |   0.8883  |               |              2.8673  |
|       3  |      7  |      1.0146  |     0.9355  |   0.9035  |               |              3.2500  |
|       3  |      8  |      0.9653  |     0.9619  |   0.9205  |               |              3.6319  |
|       3  |      9  |      0.9424  |     0.9766  |   0.9330  |               |              3.9825  |
|       3  |   eval  |      0.9424  |     0.9766  |   0.9330  |       0.9389  |              4.0950  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4277  |     0.7021  |   0.6237  |               |              0.5072  |
|       4  |      1  |      1.2734  |     0.8047  |   0.6981  |               |              0.9229  |
|       4  |      2  |      1.2246  |     0.8232  |   0.7509  |               |              1.3418  |
|       4  |      3  |      1.1904  |     0.8438  |   0.8328  |               |              1.7237  |
|       4  |      4  |      1.1230  |     0.8779  |   0.8637  |               |              2.1049  |
|       4  |      5  |      1.0859  |     0.9033  |   0.8677  |               |              2.4861  |
|       4  |      6  |      1.0527  |     0.9053  |   0.8960  |               |              2.8674  |
|       4  |      7  |      1.0186  |     0.9365  |   0.9090  |               |              3.2498  |
|       4  |      8  |      0.9814  |     0.9541  |   0.9200  |               |              3.6308  |
|       4  |      9  |      0.9434  |     0.9795  |   0.9322  |               |              3.9822  |
|       4  |   eval  |      0.9434  |     0.9795  |   0.9322  |       0.9387  |              4.0959  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.4316  |     0.7090  |   0.6944  |               |              0.5062  |
|       5  |      1  |      1.2666  |     0.8027  |   0.7679  |               |              0.9220  |
|       5  |      2  |      1.1846  |     0.8516  |   0.8068  |               |              1.3430  |
|       5  |      3  |      1.1504  |     0.8652  |   0.8387  |               |              1.7248  |
|       5  |      4  |      1.1299  |     0.8789  |   0.8325  |               |              2.1068  |
|       5  |      5  |      1.0986  |     0.8926  |   0.8267  |               |              2.4892  |
|       5  |      6  |      1.0527  |     0.9150  |   0.8933  |               |              2.8711  |
|       5  |      7  |      1.0205  |     0.9346  |   0.8924  |               |              3.2525  |
|       5  |      8  |      0.9639  |     0.9668  |   0.9242  |               |              3.6354  |
|       5  |      9  |      0.9341  |     0.9863  |   0.9315  |               |              3.9865  |
|       5  |   eval  |      0.9341  |     0.9863  |   0.9315  |       0.9396  |              4.0999  |
------------------------------------------------------------------------------------------------------
|       6  |      0  |      1.4395  |     0.6973  |   0.6545  |               |              0.5115  |
|       6  |      1  |      1.2451  |     0.8154  |   0.7218  |               |              0.9279  |
|       6  |      2  |      1.2227  |     0.8213  |   0.8007  |               |              1.3479  |
|       6  |      3  |      1.1934  |     0.8389  |   0.8146  |               |              1.7303  |
|       6  |      4  |      1.1406  |     0.8584  |   0.8444  |               |              2.1124  |
|       6  |      5  |      1.0869  |     0.8906  |   0.8729  |               |              2.4954  |
|       6  |      6  |      1.0361  |     0.9170  |   0.8893  |               |              2.8781  |
|       6  |      7  |      1.0439  |     0.9277  |   0.9027  |               |              3.2604  |
|       6  |      8  |      0.9844  |     0.9492  |   0.9235  |               |              3.6432  |
|       6  |      9  |      0.9395  |     0.9805  |   0.9329  |               |              3.9952  |
|       6  |   eval  |      0.9395  |     0.9805  |   0.9329  |       0.9396  |              4.1084  |
------------------------------------------------------------------------------------------------------
|       7  |      0  |      1.4277  |     0.7139  |   0.6768  |               |              0.5100  |
|       7  |      1  |      1.2451  |     0.8184  |   0.6890  |               |              0.9266  |
|       7  |      2  |      1.2061  |     0.8350  |   0.7830  |               |              1.3441  |
|       7  |      3  |      1.1348  |     0.8750  |   0.8172  |               |              1.7258  |
|       7  |      4  |      1.1348  |     0.8750  |   0.8513  |               |              2.1091  |
|       7  |      5  |      1.0811  |     0.9082  |   0.8674  |               |              2.4912  |
|       7  |      6  |      1.0420  |     0.9258  |   0.8890  |               |              2.8735  |
|       7  |      7  |      1.0273  |     0.9277  |   0.8978  |               |              3.2574  |
|       7  |      8  |      0.9629  |     0.9658  |   0.9171  |               |              3.6422  |
|       7  |      9  |      0.9395  |     0.9775  |   0.9322  |               |              3.9955  |
|       7  |   eval  |      0.9395  |     0.9775  |   0.9322  |       0.9376  |              4.1095  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.3916  |     0.7393  |   0.6977  |               |              0.5062  |
|       8  |      1  |      1.2881  |     0.7891  |   0.6577  |               |              0.9233  |
|       8  |      2  |      1.2217  |     0.8164  |   0.7990  |               |              1.3412  |
|       8  |      3  |      1.1807  |     0.8506  |   0.7943  |               |              1.7237  |
|       8  |      4  |      1.1084  |     0.8779  |   0.8158  |               |              2.1056  |
|       8  |      5  |      1.0840  |     0.8955  |   0.8335  |               |              2.4890  |
|       8  |      6  |      1.0381  |     0.9238  |   0.8955  |               |              2.8712  |
|       8  |      7  |      1.0127  |     0.9404  |   0.9041  |               |              3.2532  |
|       8  |      8  |      0.9741  |     0.9570  |   0.9227  |               |              3.6359  |
|       8  |      9  |      0.9590  |     0.9668  |   0.9320  |               |              3.9885  |
|       8  |   eval  |      0.9590  |     0.9668  |   0.9320  |       0.9382  |              4.1016  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.5127  |     0.6348  |   0.5641  |               |              0.5047  |
|       9  |      1  |      1.2432  |     0.8213  |   0.7041  |               |              0.9208  |
|       9  |      2  |      1.2178  |     0.8311  |   0.6755  |               |              1.3386  |
|       9  |      3  |      1.1514  |     0.8623  |   0.7649  |               |              1.7218  |
|       9  |      4  |      1.1094  |     0.8867  |   0.8662  |               |              2.1038  |
|       9  |      5  |      1.0869  |     0.8906  |   0.8379  |               |              2.4873  |
|       9  |      6  |      1.0391  |     0.9180  |   0.8879  |               |              2.8700  |
|       9  |      7  |      1.0352  |     0.9307  |   0.9072  |               |              3.2529  |
|       9  |      8  |      0.9717  |     0.9639  |   0.9250  |               |              3.6362  |
|       9  |      9  |      0.9277  |     0.9834  |   0.9329  |               |              3.9875  |
|       9  |   eval  |      0.9277  |     0.9834  |   0.9329  |       0.9389  |              4.1020  |
------------------------------------------------------------------------------------------------------
|      10  |      0  |      1.4238  |     0.7148  |   0.6685  |               |              0.4202  |
|      10  |      1  |      1.2627  |     0.8105  |   0.7794  |               |              0.8371  |
|      10  |      2  |      1.1846  |     0.8369  |   0.7153  |               |              1.2555  |
|      10  |      3  |      1.1592  |     0.8555  |   0.8205  |               |              1.6382  |
|      10  |      4  |      1.1250  |     0.8877  |   0.8520  |               |              2.0222  |
|      10  |      5  |      1.0898  |     0.8994  |   0.8425  |               |              2.4044  |
|      10  |      6  |      1.0469  |     0.9160  |   0.8937  |               |              2.7868  |
|      10  |      7  |      1.0186  |     0.9346  |   0.8864  |               |              3.1700  |
|      10  |      8  |      0.9834  |     0.9561  |   0.9257  |               |              3.5514  |
